;janvier;février;mars;avril;mai;juin;;neige;Neige février (cm)
1;8;1;5;;22;;;;
2;6;1;;;;;;;
3;10;2,5;6;;19;;;;
4;7;15;4;4;5;;;;
5;50;15;0,5;;1;;;;
6;6;12;;5;;1;;;
7;1;12;;10;;;;;
8;;10;8;12;;2;;;
9;;;;;;4,5;;;
10;3;1;7;1;;;;;
11;;0,5;8;;;;;;
12;10;;2;1;;;;;
13;1;;4;;;;;;
14;4;;4;;;;;;
15;;;5;;2;;;;
16;;;;4;;5;;;
17;;;;;2;14;;;
18;;;8;4;;1;;;
19;;;6;;;;;;
20;3;;15;;;;;;
21;;;24;;;;;;
22;5;;4;;;;;;
23;19;;5,5;8;;;;;
24;24;;1;1;;;;;
25;4;1;2;7;;;;;1
26;5;;;3;;;;;
27;9,5;5;3;;;;;;6
28;7,5;3;13;2;;;;;3
29;1;;18;5;;;;;
30;1,5;;5;1;;;;;
31;1;;;;;;;;
