;janvier;février;mars;avril;mai;juin;neige;Neige janvier cm
1;4;2;4;;1;;;
2;30;4;8;1,5;1;2;;
3;19;18;2;;3;3,5;;
4;13;11;6;;;16;;
5;;1;1;;10,5;;;
6;;2,5;;;1;;;
7;;;;;;;;
8;;;;;;;;
9;;1;;;0,5;;;
10;;;;;;;;
11;1,5;1;;;;;;0,5
12;;;;1;;;;
13;;;;;0,5;;;
14;;;;;1;6;;
15;0,5;;;;;21;;
16;0,5;;;;;1,5;;
17;1;;;;2;;;
18;8,5;;;;7;;;
19;2,5;;;;32,5;;;
20;5;4;;;2;;;
21;11;;;;1;;;
22;9,5;;;;0,5;;;
23;1;;;;;;;
24;;3;;3;16;;;
25;;;;;2;;;
26;;0,5;;14;1;;;
27;3;1;1;4;;;;
28;1;2;4;0,5;;;;
29;1;;6;10;;;;
30;;;2;2;;10;;
31;3,5;;;;;;;1
