;janvier;février;mars;avril;mai;juin;;neige;neige janvier;neige février;neige mars
1;4;;;;;;;cm;;;
2;2;;3;;;;;;;;3
3;;;11;;;;;;;;
4;;;2;;5;;;;;;
5;4;;;2,5;3;;;;;;
6;6;;6;2;;0,5;;;;;
7;;;;;;11;;;;;
8;8;;;1;0,5;;;;;;
9;;;;;;;;;;;
10;;;;;;;;;;;
11;5;8;;;;;;;;;
12;10;5;;;;;;;;;
13;;5;;;14;;;;;;
14;;1;;;11;;;;;;
15;;;;8;;;;;;;
16;;;;;4;3;;;;;
17;;;;11;;;;;;;
18;14;1;;2;;;;;;;
19;1;3;;4;;;;;;;
20;;;;4;;;;;;;
21;;1;;;1;;;;;;
22;;1;4;;;;;;;1;
23;12;1;;5,5;2;;;;;;
24;;;1;1;;;;;;;
25;;2;1;5;;1;;;;2;
26;;5;;1;;1;;;;;
27;;1;3;1;;2;;;;1;
28;2;;1;;;;;;2;;
29;;;8;;;4;;;;;
30;;;4,5;;7;1,5;;;;;
31;;;;;;;;;;;
