;janvier;février;mars;avril;mai;juin;;neige;neige janvier
1;25;;15;;9;13;;cm;
2;14;;9;;11;;;;
3;;;16;4;1;;;;
4;4;;;;;;;;
5;;;3;;;2;;;
6;;6,5;16,5;;;;;;
7;10;5,5;15;;;;;;
8;8;2;;;7;;;;
9;8;12,5;1,5;;1;;;;
10;;25;;;;;;;
11;1;9;;;;3;;;
12;;;;2;4;;;;
13;3;14;;5;1;;;;
14;;;;;7;8;;;
15;;;;;2,5;9;;;
16;1;;;;;2,5;;;
17;;;;;5;;;;
18;15;;;;;10,5;;;
19;3;;3;;;;;;
20;1;;3;;23;;;;
21;;3;3;;15;;;;
22;;5;;;;17;;;
23;;;1,5;;;7;;;
24;2;7;;;;;;;5
25;;14;2;;;7;;;
26;;;;;17;7;;;
27;7;;;;10;2;;;
28;;7,5;;7;;;;;
29;;;4;;12;1;;;
30;;;7;2;4;;;;
31;;;7;;;;;;
;102;111;106,5;20;129,5;89;;;
