;janvier;février;mars;avril;mai;juin;;neige;neige janvier;neige février
1;7;;;;;;;cm;;
2;12;;;;4;;;;;
3;1;;;;;;;;;
4;12;;3;2;3;;;;;
5;;5;3;;;;;;;5
6;;;2;;4;;;;;
7;;;;;;6;;;;
8;5;;3;;2;1,5;;;5;
9;;;;;5;;;;;
10;;;;12;;17;;;;
11;;;;;;2,5;;;;
12;;;;;;12;;;;
13;;5;;12;;6;;;;
14;;;;;;;;;;
15;;;;2;;;;;;
16;;;;;;14;;;;
17;;;2;6;;;;;;
18;;;5;12;;;;;;
19;;4;;4;18;;;;;
20;;;;4;1;13;;;;
21;6;;1;5;6,5;15;;;;
22;;;2;1,5;;;;;;
23;;;;15;;;;;;
24;;;;17;;;;;;
25;;;;21;;;;;;
26;4;;;1;;;;;;
27;;;;;;;;;;
28;;;;13;;;;;;
29;;;;20;;;;;;
30;;;;2;;;;;;
31;;;;;;;;;;
;47;14;21;149,5;43,5;87;;;;
