;janvier;février;mars;avril;mai;juin;;neige;neige février;neige mars
1;5;10,5;2,5;;;;;cm;;5
2;1;;6;;;;;;;
3;7;3;2;11;;;;;;
4;17;3;8;;;;;;;
5;8;4;2,5;;;;;;;
6;1;;5;;;;;;;
7;14;5;5,5;;;;;;10;
8;3;;1,5;;;;;;;
9;;3;;;;;;;;
10;2;;2;;;;;;;
11;2,5;;2;;;;;;;
12;;;4;;;;;;;
13;;2;5,5;;;;;;;
14;;;;;;;;;;
15;;8;12;;;;;;;
16;8,5;1;8;;;;;;;
17;3;13;3;;;9;;;;
18;1,5;7;10;;;2;;;;
19;7;;;;;;;;;
20;21;;;;;;;;;
21;2;;;;;;;;;
22;6;;;;;;;;;
23;1;;;;;;;;;
24;1,5;;2;;;;;;;
25;13;;3,5;;;;;;;
26;3;;8;;;;;;;
27;;;;;;;;;;
28;;;;;;;;;;
29;;;;;;;;;;
30;3;;;;;;;;;
31;;;21;;;;;;;
;131;59,5;114;11;0;11;;;10;5
