;janvier;février;mars;avril;mai;juin;;neige;Neige  janvier;Neige février
1;;;;;3;;;;;
2;10;;;;5,5;;;;10;
3;1;;;;5;;;;;
4;;;;;;;;;;
5;;;;;;;;;;
6;2;10;;;;;;;;10
7;4;8;;;;;;;;
8;2;5;;;4;3;;;;
9;6;;2;;;;;;;
10;1;3;;2;;;;;;
11;4;;;;;;;;;
12;3;;;;;;;;;
13;;8;;3;;;;;;
14;;;;2;;;;;;
15;;;;;;;;;;
16;;;;1;3;;;;;
17;;;;;5;;;;;
18;;4;2;;5;;;;;
19;;1;;;2;;;;;
20;;;3;;;;;;;
21;;2;1;;3;;;;;2
22;;;;12;;;;;;
23;19;4;;10;2;;;;;
24;7;3;;2;;;;;;
25;;7;4;;8;;;;;
26;;13;4;;2;;;;;
27;;;8;;1;;;;;
28;;;;;;;;;;
29;1;;;;;;;;;
30;;;;;;;;;;
31;;;;;;;;;;
