;janvier;février;mars;avril;mai;juin;;neige;Neige janvier
1;;;;0,5;3;1;;;
2;19;;1,5;5;;;;;
3;;;;32;5;;;;
4;;;1;3;;;;;
5;;;;13;;7;;;
6;;;;11;;1;;;
7;;0,5;1;11;;;;;
8;;;11;2;;;;;
9;9;;2,5;6;;;;;
10;;;;9;;3;;;
11;12;;2;;;3;;;
12;13;;;8;;2;;;
13;5;;;;;5,5;;;
14;7;;1,5;;;7;;;
15;22;;;8;9,5;2;;;
16;;;;11;;;;;
17;12;;;10;;;;;
18;15;;;2;;;;;
19;1;;;1,5;;;;;
20;;;;10;;;;;
21;;;;;;;;;
22;;8;;;;;;;
23;;;;1;;;;;
24;;1,5;;;;;;;
25;1;;;8;;;;;0,5
26;;1;;3;;;;;
27;;;;5;5;;;;
28;;;;1;6;2;;;
29;;;;6;;;;;
30;;;4;5;2;;;;
31;;;;;3;;;;
