;janvier;février;mars;avril;mai;juin;;mm de neige;neige janvier
1;;;;;;;;;
2;3,5;;2;;;;;;
3;8;;8;8;;7;;;
4;3,5;;9;1;0,5;4;;;
5;;;2;;;4;;;
6;;;0,5;;;2,5;;;
7;;3;1,5;2;7;3;;;
8;9;;17;;3;1;;;
9;;15;;;;;;;
10;;;2,5;;;;;;
11;1,5;;;1;2;;;;13
12;;1;;5,5;4;;;;
13;6;;;1;3;;;;
14;4,5;;;11;5;;;;
15;;3;;4;;;;;
16;;;;;2;;;;
17;12;0,5;;1;3;;;;
18;1;1,5;;5;3,5;;;;
19;1,5;;;2,5;20,5;;;;
20;;17;;6;2;;;;
21;;0,5;;17,5;;;;;
22;;;1;8;0,5;;;;
23;;;;2;;;;;
24;;16;;4;;;;;
25;;;;;;;;;
26;8;;1;;;;;;
27;4;;0,5;;;6;;;
28;;1;;;;;;;
29;;;;;;;;;
30;;;;8,5;7;2;;;
31;;;;;0,5;;;;
