;juillet;août;septembre;octobre;novembre;décembre;;neige (cm);Neige novembre
1;;;;24;;;;;
2;;3;;2;;4;;;
3;;;;10;;;;;
4;5;2;;;;3;;;
5;4;1;;;;1;;;
6;;;;10;;3;;;
7;19;3;4;2;3;;;;
8;2;42;;11;10;;;;
9;;2;;4;;;;;2
10;;;;;2;;;;
11;1;;;;;;;;
12;5;;;;1;;;;
13;3,5;;;;3;;;;
14;23;;3;10;2;;;;
15;;;;;;;;;
16;;6;3;5;;;;;
17;9;;;;;;;;
18;15,5;3;;12;;;;;
19;8;17;;;;;;;
20;1,5;8;;23;;;;;
21;;;;6;;;;;
22;;;;2;;5;;;
23;1;;;2;2;;;;
24;;;;5;1;;;;
25;;;3;;1;3;;;
26;2;;;;5,5;4;;;
27;;;;3;;1;;;
28;6;;;1;3;1;;;
29;3;;23;1;;19;;;
30;;;;1;10;18;;;
31;;;;;;;;;
