;juillet;août;septembre;octobre;novembre;décembre;;;Neige décembre
1;;;5;;13;;;cm neige;
2;;3;;;21;;;;
3;;;7;;15;2;;;
4;;;5,5;;12;;;;
5;;;;5;;14;;;
6;2;;;;;7;;;
7;1;;;;6;5,5;;;
8;;;;7,5;9;18;;;
9;;;;;2;;;;
10;;;;2;;7;;;
11;;;;;5;3;;;
12;3;2;;;6;;;;
13;;;;;;;;;
14;;;;;8;;;;
15;;;8;;2;;;;
16;;;4;;8;;;;
17;6;;17;;13;;;;
18;3,5;;;;;7;;;5
19;4;;;;;;;;
20;;;;;;20;;;
21;;;;16;;;;;
22;;;;5,5;12;17;;;
23;5;;;2;8;3;;;
24;2;0,5;;7;;;;;
25;;;;;8;;;;
26;;;;2,5;2;;;;
27;;;;;15;5;;;
28;;1,5;;;15;10;;;
29;;;;;25;28;;;
30;;;;;5;5;;;
31;;;;;;6;;;
;26,5;7;46,5;47,5;210;157,5;;;5
